sede_id,pais_iso_3,region_geografica,redes_sociales
CALEG,BRA,AMÉRICA  DEL  SUR,https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  
CANTO,CHL,AMÉRICA  DEL  SUR,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  https://www.instagram.com/consulargantofagasta/  //  
CAREN,CHL,AMÉRICA  DEL  SUR,https://www.facebook.com/profile.php?id=100014152878593  //  
CASUN,PRY,AMÉRICA  DEL  SUR,
CATLA,USA,AMÉRICA  DEL  NORTE,instagram.com/ARGenAtlanta  //  facebook.com/ARGenAtlanta  //  https://www.linkedin.com/company/ARGenAtlanta  //  x.com/ARGenAtlanta  //  
CBARC,ESP,EUROPA  OCCIDENTAL,https://www.facebook.com/ArgEnBarcelona/  //  https://twitter.com/argenbarcelona  //  https://www.instagram.com/argenbarcelona/  //  https://www.youtube.com/@consuladoargentinoenbarcel2664  //  https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona  //  
CBEIJ,CHN,ASIA,
CBELO,BRA,AMÉRICA  DEL  SUR,https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  
CBONN,DEU,EUROPA  OCCIDENTAL,https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/argentinaenbonn  //  
CCADI,ESP,EUROPA  OCCIDENTAL,www.facebook.com/ArgentinaEnCadiz  //  
CCEST,PRY,AMÉRICA  DEL  SUR,https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  
CCHIC,USA,AMÉRICA  DEL  NORTE,https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  consulado_argentino_chicago  //  
CCOCH,BOL,AMÉRICA  DEL  SUR,https://www.facebook.com/ArgentinaEnCochabamba/  //  
CCOLO,URY,AMÉRICA  DEL  SUR,https://www.facebook.com/ArgentinaenColonia  //  
CCONC,CHL,AMÉRICA  DEL  SUR,
CCURI,BRA,AMÉRICA  DEL  SUR,https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //  
CENCA,PRY,AMÉRICA  DEL  SUR,
CFBEN,URY,AMÉRICA  DEL  SUR,
CFDIG,BRA,AMÉRICA  DEL  SUR,https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //  
CFLOR,BRA,AMÉRICA  DEL  SUR,@argenflorianopolis  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  
CFRAN,DEU,EUROPA  OCCIDENTAL,
