sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ECHES,"Administración","Administrative  Section","Seccion","Gustavo  Alberto  ","Rodríguez","Jefe  de  Sección  Administrativa","420  224  210  140","",,"",,"","eches_adm@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ERUNI,"Administración","Administration","Seccion","María  Carolina  ","Etcheverry","Agregada",,"",,"",,"","administration@argentine-embassy-uk.org  ","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EHAIT,"Administración","Todo  el  territorio  de  Haiti","Seccion","Sergio  Fabián  ","Pérez  Godoy","Jefe  de  Sección  Administrativa","509  2940-67/11/12/13/14","",00  509  3676  0359,"",,"","ehait@cancilleria.gob.ar","",,"",Lunes,Viernes,,,"9.00  hs  a  17.00  hs",
EKENY,"Administración","Administrative  Section","Seccion","Héctor  Osvaldo  ","Coira","Jefe/a  de  Sección  Administrativa","+254  (0)  112  170  342  ","",,"",,"","adminkenya@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ERUNI,"Administración","Administracion","Seccion","Carlos  Esteban  ","Pronato","Jefe  de  Sección","44  2073181300","",,"","","","administration@argentine-embassy-uk.org","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
CNYOR,"Administración","Administration  Department","Seccion","Paula  Daniela  ","Roccanova","Jefe/a  de  Sección  Administrativa","1  212  603  0400","1  212  603  0414  //  1  212  603  0432",16462835892,"","","","cnyor@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EPBAJ,"Administración","Administration","Seccion","Pablo  ","Galiñanes","Jefe  de  Sección","0031  (070)  3118425        /        0031  (070)  3118415","",,"","","","epbaj@mrecic.gov.ar","",,"",,,,,"",
EECUA,"Administración  y  Logística","Administration  and  Logistics","Seccion","Santiago  ","Maglione","Jefe  de  Sección","(593)  2256  -  2292  int.  224","",(593)  99  973  -  8957,"","","","one@mrecic.gov.ar","","http://eecua.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
ESSED,"Administración, Economato, Contabilidad  e  Inventario","Administration  Area","Seccion","Cecilia  Lorena  ","Contartese","Jefa  de  Sección  Administrativa","39  06  686-5303","",39  366  832  5997,"","39  06  687  9021","","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EJAPO,"Administrativa","Administration","Seccion","Federico  Sebastián  ","Yulita","Jefe  de  Sección",,"",,"",,"","admin_ejapo@mrecic.gov.ar","",,"",,,,,"",
