pais_iso_3,cant_sedes,promedio_secciones,gdp_per_capita_2023
BRA,11,1.64,10377.59
USA,9,3.22,82304.62
URY,8,0.62,23019.42
BOL,7,2.14,3686.28
CHL,7,1.57,17067.04
ESP,7,2.57,33509.01
CHN,6,2.5,12951.18
CAN,4,1.25,54220.33
DEU,4,3.25,53940.41
ITA,4,2.5,39065.42
MEX,3,3.67,13826.13
AUS,2,4.5,64835.92
BEL,2,5.5,54690.09
CHE,2,2.5,100631.8
ECU,2,5.5,6737.85
FRA,2,4.0,44690.93
GRB,2,4.0,
IND,2,7.0,2530.12
ISR,2,4.0,52003.72
PER,2,3.5,7887.54
TUR,2,2.0,13105.66
ZAF,2,2.5,6022.54
AGO,1,6.0,2309.53
ARE,1,4.0,49040.69
ARM,1,2.0,8125.27
AUT,1,10.0,56033.57
AZE,1,5.0,7133.03
BRB,1,7.0,23804.02
COL,1,9.0,7000.84
CRI,1,2.0,16942.03
CUB,1,5.0,
CZE,1,5.0,31591.06
DNK,1,4.0,68453.88
DOM,1,3.0,10630.43
DZA,1,6.0,5364.03
EGY,1,6.0,3456.79
ETH,1,4.0,
FIN,1,2.0,52821.51
GRC,1,3.0,23400.73
GTM,1,5.0,5758.31
HND,1,6.0,3227.46
HTI,1,7.0,1705.76
HUN,1,6.0,22312.18
IDN,1,5.0,4876.31
IRL,1,4.0,103887.8
IRN,1,4.0,4465.64
JAM,1,3.0,6839.73
JPN,1,7.0,33836.18
KEN,1,6.0,1952.3
KOR,1,7.0,33121.37
KWT,1,5.0,34075.85
LBN,1,5.0,3477.72
MAR,1,5.0,3771.45
MOZ,1,7.0,622.99
MYS,1,3.0,11379.09
NGA,1,4.0,1596.64
NIC,1,1.0,2609.44
NLD,1,8.0,64572.01
NOR,1,3.0,87497.33
NZL,1,3.0,48654.9
PAK,1,1.0,1365.17
PAN,1,5.0,18686.41
PHL,1,5.0,3804.08
POL,1,3.0,22145.26
PRT,1,5.0,27386.29
QAT,1,3.0,80195.87
ROU,1,1.0,18404.27
RUS,1,8.0,14159.39
SGP,1,5.0,85412.23
SLV,1,5.0,5365.44
SRB,1,4.0,12281.51
SUR,1,6.0,5494.07
SWE,1,5.0,55567.09
SYR,1,1.0,847.37
THA,1,5.0,7195.1
TTO,1,3.0,18639.26
TUN,1,7.0,3950.38
UKR,1,4.0,5139.6
VAT,1,7.0,
VEN,1,5.0,
VNM,1,4.0,4323.35
