País,Cantidad de Redes Sociales Diferentes
USA,6
BEL,5
CAN,5
ESP,5
GRB,5
CHE,4
ITA,4
MEX,4
NOR,4
TUN,4
VAT,4
ARM,3
AUS,3
AUT,3
AZE,3
BOL,3
BRA,3
CHL,3
CHN,3
DNK,3
DZA,3
ECU,3
EGY,3
ETH,3
GRC,3
GTM,3
HUN,3
IND,3
JPN,3
KEN,3
NLD,3
PHL,3
PRY,3
SAU,3
SLV,3
SWE,3
TUR,3
URY,3
VEN,3
ZAF,3
AGO,2
BGR,2
COL,2
CRI,2
CUB,2
CZE,2
DEU,2
DOM,2
FIN,2
FRA,2
IRL,2
ISR,2
JAM,2
KOR,2
LBN,2
MAR,2
NGA,2
NZL,2
PER,2
RUS,2
SGP,2
TTO,2
UKR,2
VNM,2
ARE,1
BGD,1
BRB,1
HND,1
IDN,1
KWT,1
MOZ,1
MYS,1
NIC,1
PAK,1
PAN,1
POL,1
PRT,1
PSE,1
QAT,1
ROU,1
SEN,1
SYR,1
THA,1
ARG,0
GUY,0
HTI,0
IRN,0
LBY,0
LCA,0
SRB,0
SUR,0
